time,altitude,latitude,longitude,chlor_a
UTC,m,degrees_north,degrees_east,mg m^-3
2022-12-01T12:00:00Z,0,4.3020835,132.78127,0.12755793
2022-12-01T12:00:00Z,0,4.3020835,132.98961,0.11608824
2022-12-01T12:00:00Z,0,4.3020835,133.19792,0.11816377
2022-12-01T12:00:00Z,0,4.3020835,133.40627,0.1119969
2022-12-01T12:00:00Z,0,4.3020835,133.61461,0.105058394
2022-12-01T12:00:00Z,0,4.3020835,133.82292,0.09834311
2022-12-01T12:00:00Z,0,4.3020835,134.03127,0.093780324
2022-12-01T12:00:00Z,0,4.3020835,134.23961,0.09464988
2022-12-01T12:00:00Z,0,4.3020835,134.44792,0.10196595
2022-12-01T12:00:00Z,0,4.3020835,134.65627,0.116842605
2022-12-01T12:00:00Z,0,4.3020835,134.86461,0.11467424
2022-12-01T12:00:00Z,0,4.3020835,135.07292,0.111024655
2022-12-01T12:00:00Z,0,4.3020835,135.28127,0.10671345
2022-12-01T12:00:00Z,0,4.3020835,135.48961,0.10293181
2022-12-01T12:00:00Z,0,4.3020835,135.69792,0.10371172
2022-12-01T12:00:00Z,0,4.3020835,135.90627,0.09981485
2022-12-01T12:00:00Z,0,4.3020835,136.11461,0.097271085
2022-12-01T12:00:00Z,0,4.3020835,136.32292,0.10374047
2022-12-01T12:00:00Z,0,4.3020835,136.53127,0.10140853
2022-12-01T12:00:00Z,0,4.3020835,136.73961,0.09652886
2022-12-01T12:00:00Z,0,4.3020835,136.94792,0.094361566
2022-12-01T12:00:00Z,0,4.3020835,137.15627,0.10014
2022-12-01T12:00:00Z,0,4.3020835,137.36461,0.09694251
2022-12-01T12:00:00Z,0,4.3020835,137.57292,0.092780404
2022-12-01T12:00:00Z,0,4.3020835,137.78127,0.093004785
2022-12-01T12:00:00Z,0,4.3020835,137.98961,0.0920708
2022-12-01T12:00:00Z,0,4.3020835,138.19792,0.09488993
2022-12-01T12:00:00Z,0,4.3020835,138.40627,0.08785885
2022-12-01T12:00:00Z,0,4.3020835,138.61461,0.091591
2022-12-01T12:00:00Z,0,4.3020835,138.82292,0.08948907
2022-12-01T12:00:00Z,0,4.3020835,139.03127,0.08981851
2022-12-01T12:00:00Z,0,4.3020835,139.23961,0.09070377
2022-12-01T12:00:00Z,0,4.3020835,139.44792,0.09268727
2022-12-01T12:00:00Z,0,4.3020835,139.65627,0.086326964
2022-12-01T12:00:00Z,0,4.3020835,139.86461,0.08631275
2022-12-01T12:00:00Z,0,4.0937476,127.9896,0.08659032
2022-12-01T12:00:00Z,0,4.0937476,128.19792,0.08415354
2022-12-01T12:00:00Z,0,4.0937476,128.40627,0.10310876
2022-12-01T12:00:00Z,0,4.0937476,128.61461,0.1532334
2022-12-01T12:00:00Z,0,4.0937476,128.82292,0.15672424
2022-12-01T12:00:00Z,0,4.0937476,129.03127,0.17560014
2022-12-01T12:00:00Z,0,4.0937476,129.23961,0.17817722
2022-12-01T12:00:00Z,0,4.0937476,129.44792,0.19956459
2022-12-01T12:00:00Z,0,4.0937476,129.65627,0.17219529
2022-12-01T12:00:00Z,0,4.0937476,129.86461,0.16243063
2022-12-01T12:00:00Z,0,4.0937476,130.07292,0.14126264
2022-12-01T12:00:00Z,0,4.0937476,130.28127,0.14480011
2022-12-01T12:00:00Z,0,4.0937476,130.48961,0.15064774
2022-12-01T12:00:00Z,0,4.0937476,130.69792,0.15050396
2022-12-01T12:00:00Z,0,4.0937476,130.90627,0.15134081
2022-12-01T12:00:00Z,0,4.0937476,131.11461,0.1285086
2022-12-01T12:00:00Z,0,4.0937476,131.32292,0.12170625
2022-12-01T12:00:00Z,0,4.0937476,131.53127,0.12730704
2022-12-01T12:00:00Z,0,4.0937476,131.73961,0.13561057
2022-12-01T12:00:00Z,0,4.0937476,131.94792,0.14255631
2022-12-01T12:00:00Z,0,4.0937476,132.15627,0.12785567
2022-12-01T12:00:00Z,0,4.0937476,132.36461,0.12252724
2022-12-01T12:00:00Z,0,4.0937476,132.57292,0.13062045
2022-12-01T12:00:00Z,0,4.0937476,132.78127,0.14633387
2022-12-01T12:00:00Z,0,4.0937476,132.98961,0.14912198
2022-12-01T12:00:00Z,0,4.0937476,133.19792,0.13796434
2022-12-01T12:00:00Z,0,4.0937476,133.40627,0.13168044
2022-12-01T12:00:00Z,0,4.0937476,133.61461,0.13650231
2022-12-01T12:00:00Z,0,4.0937476,133.82292,0.12383961
2022-12-01T12:00:00Z,0,4.0937476,134.03127,0.11264443
2022-12-01T12:00:00Z,0,4.0937476,134.23961,0.113289855
2022-12-01T12:00:00Z,0,4.0937476,134.44792,0.12543286
2022-12-01T12:00:00Z,0,4.0937476,134.65627,0.11951413
2022-12-01T12:00:00Z,0,4.0937476,134.86461,0.104734994
2022-12-01T12:00:00Z,0,4.0937476,135.07292,0.10076756
2022-12-01T12:00:00Z,0,4.0937476,135.28127,0.10656406
2022-12-01T12:00:00Z,0,4.0937476,135.48961,0.1032931
2022-12-01T12:00:00Z,0,4.0937476,135.69792,0.09953762
2022-12-01T12:00:00Z,0,4.0937476,135.90627,0.09520309
2022-12-01T12:00:00Z,0,4.0937476,136.11461,0.10882353
2022-12-01T12:00:00Z,0,4.0937476,136.32292,0.1016787
2022-12-01T12:00:00Z,0,4.0937476,136.53127,0.098900154
2022-12-01T12:00:00Z,0,4.0937476,136.73961,0.092897795
2022-12-01T12:00:00Z,0,4.0937476,136.94792,0.09549518
2022-12-01T12:00:00Z,0,4.0937476,137.15627,0.09506281
2022-12-01T12:00:00Z,0,4.0937476,137.36461,0.09176871
