latitude,longitude,season,chlor_a,sss,analysed_sst,year_month
-2.9895885,130.69792,Musim Barat,0.174053355,34.0881166,29.853333333333335,2022-12
-2.9895885,130.90627,Musim Barat,0.14900213750000002,35.33521771428571,29.996666666666666,2022-12
-2.9895885,131.11461,Musim Barat,0.15577358,34.968965142857144,29.996666666666666,2022-12
-2.9895885,131.32292,Musim Barat,0.16548976999999998,34.8738442,30.13,2022-12
-2.9895885,131.53127,Musim Barat,0.216838325,34.749554333333336,30.13,2022-12
-2.9895885,131.73961,Musim Barat,0.27177191,34.749554333333336,30.13,2022-12
-2.9895885,131.94792,Musim Barat,0.29433162749999997,34.749554333333336,30.21666666666667,2022-12
-2.9895885,132.15627,Musim Barat,0.2654639075,34.5110015,30.21666666666667,2022-12
-2.9895885,132.36461,Musim Barat,0.263889825,34.5110015,30.036666666666665,2022-12
-2.9895885,133.82292,Musim Barat,11.471610375,32.466515,29.893333333333334,2022-12
-2.9895885,134.86461,Musim Barat,0.430821695,32.466515,30.233333333333334,2022-12
-2.9895885,135.07292,Musim Barat,0.2566342575,32.466515,30.233333333333334,2022-12
-2.9895885,135.28127,Musim Barat,0.2779867225,32.466515,30.133333333333336,2022-12
-2.9895885,135.48961,Musim Barat,0.3563617825,34.1981272,30.133333333333336,2022-12
-2.9895885,135.69792,Musim Barat,0.9819015375,34.065457800000004,30.133333333333336,2022-12
-2.7812526,127.9896,Musim Barat,0.1776609375,34.402125285714284,29.713333333333335,2022-12
-2.7812526,128.19792,Musim Barat,0.1915033325,34.402125285714284,29.713333333333335,2022-12
-2.7812526,128.40627,Musim Barat,0.1997555125,33.682957,29.673333333333336,2022-12
-2.7812526,128.61461,Musim Barat,0.24808449,33.1358485,29.673333333333336,2022-12
-2.7812526,128.82292,Musim Barat,0.2427203125,33.15312,29.646666666666665,2022-12
-2.7812526,129.03127,Musim Barat,0.29972618,34.1886796,29.646666666666665,2022-12
-2.7812526,129.23961,Musim Barat,0.27389698,34.1886796,29.646666666666665,2022-12
-2.7812526,129.44792,Musim Barat,0.39612444,34.87046425,29.7,2022-12
-2.7812526,129.65627,Musim Barat,0.33847634,35.9056225,29.7,2022-12
-2.7812526,129.86461,Musim Barat,0.2232452875,33.072946333333334,29.72,2022-12
-2.7812526,130.07292,Musim Barat,0.18174598250000001,33.072946333333334,29.72,2022-12
-2.7812526,130.28127,Musim Barat,0.16306585,34.648327,29.853333333333335,2022-12
-2.7812526,130.48961,Musim Barat,0.1532625125,34.0881166,29.853333333333335,2022-12
-2.7812526,130.69792,Musim Barat,0.14490123,34.0881166,29.853333333333335,2022-12
-2.7812526,130.90627,Musim Barat,0.13940386999999999,35.33521771428571,30.026666666666667,2022-12
-2.7812526,131.11461,Musim Barat,0.13804983,34.968965142857144,30.026666666666667,2022-12
-2.7812526,131.32292,Musim Barat,0.159379975,34.8738442,29.92,2022-12
-2.7812526,131.53127,Musim Barat,0.21772381,34.8738442,29.92,2022-12
-2.7812526,131.73961,Musim Barat,0.3291423625,34.749554333333336,29.92,2022-12
-2.7812526,131.94792,Musim Barat,0.6258783025,34.749554333333336,30.096666666666668,2022-12
